   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2432    0.016    0.000    0.016    0.000 :0(split)
       12    0.000    0.000    0.000    0.000 :0(splitlines)
        2    0.000    0.000    0.000    0.000 :0(sqrt)
     2035    0.000    0.000    0.000    0.000 :0(startswith)
     1328    0.156    0.000    0.156    0.000 :0(stat)
      421    0.000    0.000    0.000    0.000 :0(strip)
       94    0.000    0.000    0.000    0.000 :0(sub)
        2    0.000    0.000    0.000    0.000 :0(tell)
     3770    0.000    0.000    0.000    0.000 :0(time)
        2    0.000    0.000    0.000    0.000 :0(title)
        7    0.000    0.000    0.000    0.000 :0(tolist)
        1    0.000    0.000    0.000    0.000 :0(toordinal)
      166    0.000    0.000    0.000    0.000 :0(translate)
      609    0.000    0.000    0.000    0.000 :0(unicode_iscased)
      463    0.016    0.000    0.016    0.000 :0(unicode_tolower)
        1    0.000    0.000    0.000    0.000 :0(union)
       35    0.000    0.000    0.000    0.000 :0(unpack)
      859    0.000    0.000    0.000    0.000 :0(update)
       49    0.000    0.000    0.000    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(urandom)
       30    0.000    0.000    0.000    0.000 :0(utf_8_decode)
       17    0.000    0.000    0.000    0.000 :0(values)
        4    0.000    0.000    0.000    0.000 :0(vars)
      5/3    0.000    0.000    0.000    0.000 :0(view)
        1    0.000    0.000    0.000    0.000 :0(warn)
       36    0.000    0.000    0.000    0.000 :0(zfill)
      316    0.000    0.000    0.016    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.016    0.016    0.016    0.016 <__array_function__ internals>:2(copyto)
   217/39    0.000    0.000    0.531    0.014 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      721    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      721    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      418    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    422/5    0.000    0.000   11.516    2.303 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2946    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      472    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:376(cached)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      282    0.016    0.000    0.047    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  282/274    0.016    0.000    0.156    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      9/8    0.000    0.000    0.219    0.027 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    291/5    0.000    0.000   11.516    2.303 <frozen importlib._bootstrap>:650(_load_unlocked)
        2    0.000    0.000    0.016    0.008 <frozen importlib._bootstrap>:692(_load)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      721    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      870    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      870    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      296    0.000    0.000    0.172    0.001 <frozen importlib._bootstrap>:890(_find_spec)
    301/4    0.000    0.000   11.531    2.883 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    301/4    0.000    0.000   11.531    2.883 <frozen importlib._bootstrap>:986(_find_and_load)
      208    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    58/55    0.000    0.000    0.094    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
    58/53    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
       28    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      654    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(_legacy_get_spec)
      280    0.000    0.000    0.172    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
      280    0.000    0.000    0.172    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      569    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      264    0.031    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      208    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     2662    0.016    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     2662    0.016    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    208/5    0.000    0.000   11.516    2.303 <frozen importlib._bootstrap_external>:777(exec_module)
     1154    0.000    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      208    0.031    0.000    0.141    0.001 <frozen importlib._bootstrap_external>:849(get_code)
      349    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      208    0.016    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      320    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:109(find_loader)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:308(_get_module_path)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_is_dir)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:321(_get_module_info)
       29    0.000    0.000    0.016    0.001 <frozen zipimport>:63(__init__)
       24    0.000    0.000    0.000    0.000 <string>:1(<module>)
      746    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(error)
        1    0.000    0.000    0.000    0.000 <string>:11(com_error)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.000    0.000 ElementPath.py:59(<module>)
        1    0.000    0.000    0.016    0.016 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       21    0.000    0.000    1.031    0.049 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1129(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1132(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1148(resource_stream)
        1    0.000    0.000    0.000    0.000 __init__.py:120(PEP440Warning)
       84    0.000    0.000    0.000    0.000 __init__.py:1317(safe_name)
       96    0.000    0.000    0.000    0.000 __init__.py:1325(safe_version)
        4    0.000    0.000    0.000    0.000 __init__.py:137(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(NullProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1403(has_resource)
       70    0.000    0.000    0.000    0.000 __init__.py:1406(_get_metadata_path)
       58    0.000    0.000    0.031    0.001 __init__.py:1409(has_metadata)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       12    0.000    0.000    0.000    0.000 __init__.py:1416(get_metadata)
       12    0.000    0.000    0.000    0.000 __init__.py:1431(get_metadata_lines)
       72    0.000    0.000    0.000    0.000 __init__.py:1486(_fn)
       72    0.000    0.000    0.000    0.000 __init__.py:1492(_validate_resource_path)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:152(WorkerQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1578(EggProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1581(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1585(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(DefaultProvider)
       53    0.016    0.000    0.016    0.000 __init__.py:1603(_has)
